"method","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"oracle_ABH","424","306","163","92","61","46","18","1","1"
"PC","194","210","118","78","29","15","14","1","1"
"PC_ZZD","194","210","118","69","27","15","14","1","1"
"BH","89","60","67","21","22","8","14","1","1"
"oracle_ABH","430","312","190","120","45","21","19","1","1"
"PC","222","173","106","54","47","41","6","6","1"
"PC_ZZD","222","173","106","54","47","41","6","6","1"
"BH","93","59","40","14","24","29","1","5","1"
"oracle_ABH","421","274","175","76","63","45","6","6","1"
"PC","237","181","141","86","27","23","12","6","1"
"PC_ZZD","237","181","141","84","27","23","12","6","1"
"BH","90","58","77","55","13","18","10","6","1"
"oracle_ABH","437","275","192","113","38","26","17","6","1"
"PC","166","159","101","97","28","34","8","1","1"
"PC_ZZD","165","159","101","97","28","34","7","1","1"
"BH","73","63","38","51","16","27","7","1","1"
"oracle_ABH","409","292","155","139","46","38","9","1","1"
"PC","212","158","130","45","51","25","14","1","2"
"PC_ZZD","212","158","130","45","51","25","14","1","2"
"BH","62","56","51","14","27","23","13","1","2"
"oracle_ABH","426","249","172","77","63","30","20","1","3"
"PC","206","151","105","65","47","27","15","4","0"
"PC_ZZD","206","151","104","65","47","27","15","4","0"
"BH","66","66","46","15","22","23","3","2","0"
"oracle_ABH","422","253","164","109","56","30","16","4","0"
"PC","192","152","117","53","52","19","14","9","3"
"PC_ZZD","192","152","117","53","52","19","14","9","3"
"BH","60","69","53","38","32","19","12","4","3"
"oracle_ABH","410","277","193","82","58","36","15","9","3"
"PC","252","188","80","51","39","22","11","2","1"
"PC_ZZD","252","188","80","51","39","22","11","2","1"
"BH","84","83","10","22","22","9","10","1","1"
"oracle_ABH","437","314","167","107","46","39","12","4","1"
"PC","227","162","121","60","46","21","9","6","0"
"PC_ZZD","227","162","121","59","45","21","9","6","0"
"BH","81","95","41","34","20","18","6","3","0"
"oracle_ABH","435","268","190","96","55","33","9","6","0"
"PC","230","173","107","59","45","50","8","2","0"
"PC_ZZD","230","173","107","59","45","50","8","2","0"
"BH","80","81","44","24","25","39","8","2","0"
"oracle_ABH","430","285","172","109","59","54","12","2","0"
"PC","255","150","100","88","35","15","10","3","4"
"PC_ZZD","255","150","100","88","35","15","10","3","4"
"BH","75","64","51","36","22","14","9","3","4"
"oracle_ABH","439","277","165","122","46","22","12","3","4"
"PC","231","168","121","66","45","30","9","1","0"
"PC_ZZD","231","168","120","66","45","29","9","1","0"
"BH","85","52","55","38","25","26","8","1","0"
"oracle_ABH","428","313","165","115","64","32","20","1","0"
"PC","236","172","105","56","56","30","14","6","1"
"PC_ZZD","236","171","105","56","56","30","14","6","1"
"BH","101","84","22","31","25","17","10","6","1"
"oracle_ABH","442","280","165","79","74","33","14","6","1"
"PC","244","115","140","42","60","23","2","10","0"
"PC_ZZD","244","115","136","42","60","23","2","10","0"
"BH","74","63","78","13","30","8","2","10","0"
"oracle_ABH","451","263","183","79","75","31","2","12","0"
"PC","194","130","133","97","38","22","6","10","2"
"PC_ZZD","194","130","133","96","38","22","6","10","2"
"BH","84","45","71","42","18","17","5","9","2"
