"method","V2","V3","V4"
"PC_midp","0.954414412379895","0.74961004792464","0.572194977337508"
"STOREY_RANDOM","0.952473902208504","0.748216435320912","0.571878784466872"
"PC_RANDOM","0.972006932594652","0.712338390311888","0.529314079657467"
"STOREY","1.432","1.128","0.776"
"PC","1.50603890840375","1.21715652360065","0.871835190289444"
"RES_STOREY","0.900492342209663","0.696082062889437","0.487020577151843"
"PC_midp","0.911780519319046","0.730384317057572","0.532281729418128"
"STOREY_RANDOM","0.909435632542913","0.7297545915099","0.530892353417208"
"PC_RANDOM","0.909852863870686","0.687889091995015","0.462772461260653"
"STOREY","1.484","1.192","0.832"
"PC","1.53592556303155","1.24450428944349","0.923997010484732"
"RES_STOREY","0.928009372520638","0.760436807651876","0.543932869910843"
"PC_midp","0.928642875590901","0.763963835028482","0.577246435531998"
"STOREY_RANDOM","0.928920579645136","0.765791874976221","0.577089284050376"
"PC_RANDOM","0.933763702094886","0.74519421030344","0.538327677052107"
"STOREY","1.42","1.148","0.848"
"PC","1.49424910425624","1.22388702966605","0.917651980982795"
"RES_STOREY","0.890821514782114","0.73549549589359","0.534997927040698"
"PC_midp","0.905528096183104","0.75504898738457","0.564784802463723"
"STOREY_RANDOM","0.90714683262266","0.754640116560109","0.566306993584167"
"PC_RANDOM","0.875311201755017","0.738081956109519","0.50870670917318"
"STOREY","1.396","1.156","0.84"
"PC","1.49037246440842","1.23520038454501","0.919443477642644"
"RES_STOREY","0.873812680068526","0.729803590067777","0.528840834037466"
"PC_midp","0.901718590079778","0.755584323467498","0.562772196193866"
"STOREY_RANDOM","0.903488423314389","0.756804121176282","0.562784754073145"
"PC_RANDOM","0.873388029608884","0.721413107668077","0.511349853805167"
"STOREY","1.5","1.16","0.86"
"PC","1.56499366128326","1.23466212870894","0.946610173590849"
"RES_STOREY","0.944428012006811","0.726305837466178","0.547136270695228"
"PC_midp","0.947857623052978","0.748317057866584","0.580042666076981"
"STOREY_RANDOM","0.946216420372758","0.747226231624303","0.578492809401245"
"PC_RANDOM","0.93991592530089","0.724122478950171","0.51354229273337"
"STOREY","1.468","1.168","0.832"
"PC","1.52399773196598","1.22666902269602","0.912150492373776"
"RES_STOREY","0.919831204011415","0.74506221965541","0.517726314449597"
"PC_midp","0.924716918784179","0.750543104402307","0.562055705164956"
"STOREY_RANDOM","0.922372361611623","0.747530329700328","0.560955637139331"
"PC_RANDOM","0.923429707021277","0.732595306519383","0.51515881766038"
"STOREY","1.488","1.108","0.84"
"PC","1.53694019896561","1.21136826949089","0.945793378864701"
"RES_STOREY","0.928955667415599","0.692666295070717","0.539079222682477"
"PC_midp","0.931420680634448","0.735229741456599","0.59459033361955"
"STOREY_RANDOM","0.934170098995371","0.740043980532198","0.595525736044404"
"PC_RANDOM","0.931118220131725","0.67864471399075","0.542428275943359"
"STOREY","1.38","1.136","0.852"
"PC","1.4866839560166","1.2212082639515","0.934503145939485"
"RES_STOREY","0.861048891142536","0.725857934230989","0.536708225765182"
"PC_midp","0.896440441803667","0.752529320769962","0.576790860647283"
"STOREY_RANDOM","0.896091381634766","0.750432302451067","0.575606810003232"
